id	name	metabolites	lower_bound	upper_bound	gene_reaction_rule	subsystem	notes	annotation	objective_coefficient
FBA	Fructose-bisphosphate aldolase	{'dhap_c': 1.0, 'fdp_c': -1.0, 'g3p_c': 1.0}	-1000.0	1000.0	b2097 or b1773 or b2925	Glycolysis/Gluconeogenesis	{'original_bigg_ids': ['FBA']}	{'bigg.reaction': ['FBA'], 'ec-code': ['4.1.2.13'], 'kegg.reaction': ['R01068'], 'metanetx.reaction': ['MNXR99459'], 'rhea': ['14729', '14732', '14731', '14730'], 'sabiork': ['1338'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn00786']}	
FBP	Fructose-bisphosphatase	{'f6p_c': 1.0, 'fdp_c': -1.0, 'h2o_c': -1.0, 'pi_c': 1.0}	0.0	1000.0	b3925 or b4232	Glycolysis/Gluconeogenesis	{'original_bigg_ids': ['FBP']}	{'bigg.reaction': ['FBP'], 'ec-code': ['3.1.3.11'], 'metanetx.reaction': ['MNXR99465'], 'rhea': ['11067', '11065', '11066', '11064'], 'sabiork': ['2084'], 'sbo': 'SBO:0000176'}	
FORt2	Formate transport in via proton symport	{'for_c': 1.0, 'for_e': -1.0, 'h_c': 1.0, 'h_e': -1.0}	0.0	1000.0	b0904 or b2492	Transport, Extracellular	{'original_bigg_ids': ['FORt2']}	{'bigg.reaction': ['FORt2'], 'metanetx.reaction': ['MNXR99621'], 'sbo': 'SBO:0000185', 'seed.reaction': ['rxn08524', 'rxn05559']}	
FORt	Formate transport via diffusion	{'for_c': 1.0, 'for_e': -1.0}	-1000.0	0.0	b0904 or b2492	Transport, Extracellular	{'original_bigg_ids': ['FORti']}	{'bigg.reaction': ['FORt'], 'biocyc': ['META:TRANS-RXN-1'], 'metanetx.reaction': ['MNXR99620'], 'reactome.reaction': ['R-HSA-6803255'], 'rhea': ['29681', '29680', '29682', '29679'], 'sabiork': ['12483'], 'sbo': 'SBO:0000185', 'seed.reaction': ['rxn09754', 'rxn08525', 'rxn09682', 'rxn08526']}	
FRD7	Fumarate reductase	{'fum_c': -1.0, 'q8_c': 1.0, 'q8h2_c': -1.0, 'succ_c': 1.0}	0.0	1000.0	b4151 and b4152 and b4153 and b4154	Oxidative Phosphorylation	{'original_bigg_ids': ['FRD7']}	{'bigg.reaction': ['FRD7'], 'metanetx.reaction': ['MNXR99641'], 'rhea': ['29190', '29189', '29187', '29188'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn09272']}	
FRUpts2	Fructose transport via PEP:Pyr PTS (f6p generating)	{'f6p_c': 1.0, 'fru_e': -1.0, 'pep_c': -1.0, 'pyr_c': 1.0}	0.0	1000.0	b1817 and b1818 and b1819 and b2415 and b2416	Transport, Extracellular	{'original_bigg_ids': ['FRUpts2']}	{'bigg.reaction': ['FRUpts2'], 'metanetx.reaction': ['MNXR99662'], 'sbo': 'SBO:0000185'}	
FUM	Fumarase	{'fum_c': -1.0, 'h2o_c': -1.0, 'mal__L_c': 1.0}	-1000.0	1000.0	b1612 or b4122 or b1611	Citric Acid Cycle	{'original_bigg_ids': ['FUM']}	{'bigg.reaction': ['FUM'], 'biocyc': ['META:FUMHYDR-RXN'], 'ec-code': ['4.2.1.2'], 'kegg.reaction': ['R01082'], 'metanetx.reaction': ['MNXR99705'], 'reactome.reaction': ['R-TGU-451033', 'R-TGU-70982', 'R-HSA-70982', 'R-ATH-451033', 'R-SPO-70982', 'R-SPO-451033', 'R-XTR-451033', 'R-MMU-70982', 'R-DRE-70982', 'R-DME-70982', 'R-DME-451033', 'R-HSA-451033', 'R-SCE-451033', 'R-DDI-451033', 'R-OSA-451033', 'R-CFA-70982', 'R-XTR-70982', 'R-MMU-451033', 'R-OSA-70982', 'R-BTA-70982', 'R-DRE-451033', 'R-GGA-373141', 'R-RNO-451033', 'R-CEL-451033', 'R-ATH-70982', 'R-GGA-373145', 'R-CEL-70982', 'R-BTA-451033', 'R-SSC-451033', 'R-SCE-70982', 'R-CFA-451033', 'R-RNO-70982', 'R-GGA-70982', 'R-DDI-70982', 'R-GGA-451033', 'R-SSC-70982'], 'rhea': ['12463', '12461', '12462', '12460'], 'sabiork': ['256'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn00799']}	
FUMt2_2	Fumarate transport via proton symport (2 H)	{'fum_c': 1.0, 'fum_e': -1.0, 'h_c': 2.0, 'h_e': -2.0}	0.0	1000.0	b3528	Transport, Extracellular	{'original_bigg_ids': ['FUMt2_2']}	{'bigg.reaction': ['FUMt2_2'], 'biocyc': ['META:TRANS-RXN-121B'], 'metanetx.reaction': ['MNXR99711'], 'rhea': ['29332', '29334', '29333', '29331'], 'sbo': 'SBO:0000185', 'seed.reaction': ['rxn08542', 'rxn10152']}	
G6PDH2r	Glucose 6-phosphate dehydrogenase	{'6pgl_c': 1.0, 'g6p_c': -1.0, 'h_c': 1.0, 'nadp_c': -1.0, 'nadph_c': 1.0}	-1000.0	1000.0	b1852	Pentose Phosphate Pathway	{'original_bigg_ids': ['G6PDH2r']}	{'bigg.reaction': ['G6PDH2r'], 'biocyc': ['META:GLU6PDEHYDROG-RXN'], 'ec-code': ['1.1.1.363', '1.1.1.49'], 'kegg.reaction': ['R00835'], 'metanetx.reaction': ['MNXR99907'], 'rhea': ['15842', '15843', '15841', '15844'], 'sabiork': ['1176', '6509'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn00604']}	
GAPD	Glyceraldehyde-3-phosphate dehydrogenase	{'13dpg_c': 1.0, 'g3p_c': -1.0, 'h_c': 1.0, 'nad_c': -1.0, 'nadh_c': 1.0, 'pi_c': -1.0}	-1000.0	1000.0	b1779	Glycolysis/Gluconeogenesis	{'original_bigg_ids': ['GAPD']}	{'bigg.reaction': ['GAPD'], 'biocyc': ['META:GAPOXNPHOSPHN-RXN'], 'ec-code': ['1.2.1.12', '1.2.1.59'], 'kegg.reaction': ['R01061'], 'metanetx.reaction': ['MNXR100040'], 'reactome.reaction': ['R-ATH-70482', 'R-DME-70449', 'R-PFA-70482', 'R-SPO-70449', 'R-DRE-70449', 'R-CEL-70449', 'R-CEL-70482', 'R-CFA-70449', 'R-MMU-70482', 'R-HSA-70449', 'R-OSA-70482', 'R-GGA-352956', 'R-RNO-70449', 'R-SCE-70449', 'R-SSC-70482', 'R-ATH-70449', 'R-GGA-70482', 'R-OSA-70449', 'R-GGA-352921', 'R-DDI-70449', 'R-SPO-70482', 'R-TGU-70482', 'R-SCE-70482', 'R-HSA-70482', 'R-DME-70482', 'R-PFA-70449', 'R-XTR-70449', 'R-DRE-70482', 'R-XTR-70482', 'R-GGA-70449', 'R-RNO-70482', 'R-SSC-70449', 'R-DDI-70482', 'R-TGU-70449', 'R-MMU-70449', 'R-CFA-70482', 'R-BTA-70449', 'R-BTA-70482'], 'rhea': ['10303', '10300', '10302', '10301'], 'sabiork': ['7844'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn00781']}	
GLCpts	D-glucose transport via PEP:Pyr PTS	{'g6p_c': 1.0, 'glc__D_e': -1.0, 'pep_c': -1.0, 'pyr_c': 1.0}	0.0	1000.0	(b2417 and b1101 and b2415 and b2416) or (b1817 and b1818 and b1819 and b2415 and b2416) or (b2417 and b1621 and b2415 and b2416)	Transport, Extracellular	{'original_bigg_ids': ['GLCpts']}	{'bigg.reaction': ['GLCpts'], 'metanetx.reaction': ['MNXR100237'], 'sbo': 'SBO:0000185', 'seed.reaction': ['rxn08612', 'rxn05226']}	
GLNS	Glutamine synthetase	{'adp_c': 1.0, 'atp_c': -1.0, 'gln__L_c': 1.0, 'glu__L_c': -1.0, 'h_c': 1.0, 'nh4_c': -1.0, 'pi_c': 1.0}	0.0	1000.0	b3870 or b1297	Glutamate Metabolism	{'original_bigg_ids': ['GLNS']}	{'bigg.reaction': ['GLNS'], 'biocyc': ['META:GLUTAMINESYN-RXN'], 'ec-code': ['6.3.1.2'], 'kegg.reaction': ['R00253'], 'metanetx.reaction': ['MNXR100024'], 'reactome.reaction': ['R-GGA-70606', 'R-RNO-70606', 'R-TGU-70606', 'R-DME-70606', 'R-CEL-70606', 'R-DRE-70606', 'R-XTR-70606', 'R-SPO-70606', 'R-ATH-70606', 'R-CFA-70606', 'R-BTA-70606', 'R-OSA-70606', 'R-SSC-70606', 'R-MMU-70606', 'R-HSA-70606', 'R-SCE-70606'], 'rhea': ['16172', '16171', '16169', '16170'], 'sabiork': ['760'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn00187']}	
GLNabc	L-glutamine transport via ABC system	{'adp_c': 1.0, 'atp_c': -1.0, 'gln__L_c': 1.0, 'gln__L_e': -1.0, 'h2o_c': -1.0, 'h_c': 1.0, 'pi_c': 1.0}	0.0	1000.0	b0811 and b0810 and b0809	Transport, Extracellular	{'original_bigg_ids': ['GLNabc']}	{'bigg.reaction': ['GLNabc'], 'biocyc': ['META:ABC-12-RXN'], 'ec-code': ['3.6.3.21'], 'metanetx.reaction': ['MNXR100258'], 'rhea': ['29895#1', '29897#1', '29898#1', '29896#1'], 'sbo': 'SBO:0000185', 'seed.reaction': ['rxn11233', 'rxn05196', 'rxn05155', 'rxn11101', 'rxn08624']}	
GLUDy	Glutamate dehydrogenase (NADP)	{'akg_c': 1.0, 'glu__L_c': -1.0, 'h2o_c': -1.0, 'h_c': 1.0, 'nadp_c': -1.0, 'nadph_c': 1.0, 'nh4_c': 1.0}	-1000.0	1000.0	b1761	Glutamate Metabolism	{'original_bigg_ids': ['GLUDy']}	{'bigg.reaction': ['GLUDy'], 'biocyc': ['META:GLUTDEHYD-RXN'], 'ec-code': ['1.4.1.13', '1.4.1.3', '1.4.1.4'], 'kegg.reaction': ['R00248'], 'metanetx.reaction': ['MNXR100086'], 'rhea': ['11613', '11614', '11612', '11615'], 'sabiork': ['757'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn00184']}	
GLUN	Glutaminase	{'gln__L_c': -1.0, 'glu__L_c': 1.0, 'h2o_c': -1.0, 'nh4_c': 1.0}	0.0	1000.0	b1812 or b0485 or b1524	Glutamate Metabolism	{'original_bigg_ids': ['GLUN']}	{'bigg.reaction': ['GLUN'], 'biocyc': ['META:GLUTAMIN-RXN'], 'ec-code': ['6.3.5.2', '4.3.3.6', '6.3.5.5', '1.4.7.1', '6.3.5.4', '3.5.1.2', '6.3.4.2', '1.4.1.13', '3.5.1.38'], 'kegg.reaction': ['R00256'], 'metanetx.reaction': ['MNXR100030'], 'reactome.reaction': ['R-TGU-70609', 'R-XTR-70609', 'R-SSC-70609', 'R-GGA-70609', 'R-DDI-70609', 'R-MMU-70609', 'R-DME-70609', 'R-RNO-70609', 'R-CEL-70609', 'R-BTA-70609', 'R-DRE-70609', 'R-HSA-70609', 'R-CFA-70609'], 'rhea': ['15892', '15889', '15891', '15890'], 'sabiork': ['762'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn00189']}	
GLUSy	Glutamate synthase (NADPH)	{'akg_c': -1.0, 'gln__L_c': -1.0, 'glu__L_c': 2.0, 'h_c': -1.0, 'nadp_c': 1.0, 'nadph_c': -1.0}	0.0	1000.0	b3212 and b3213	Glutamate Metabolism	{'original_bigg_ids': ['GLUSy']}	{'bigg.reaction': ['GLUSy'], 'biocyc': ['META:GLUTAMATESYN-RXN'], 'ec-code': ['1.4.1.13'], 'kegg.reaction': ['R00114'], 'metanetx.reaction': ['MNXR100291'], 'rhea': ['15503', '15501', '15504', '15502'], 'sabiork': ['694'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn00085']}	
GLUt2r	L glutamate transport via proton symport  reversible	{'glu__L_c': 1.0, 'glu__L_e': -1.0, 'h_c': 1.0, 'h_e': -1.0}	-1000.0	1000.0	b4077	Transport, Extracellular	{'original_bigg_ids': ['GLUt2r']}	{'bigg.reaction': ['GLUt2r'], 'metanetx.reaction': ['MNXR100300'], 'reactome.reaction': ['R-SCE-8875623', 'R-MMU-8875623', 'R-TGU-8875623', 'R-XTR-8875623', 'R-SSC-8875623', 'R-DME-8875623', 'R-CEL-8875623', 'R-DRE-8875623', 'R-GGA-8875623', 'R-HSA-8875623', 'R-RNO-8875623', 'R-DDI-8875623', 'R-CFA-8875623', 'R-BTA-8875623'], 'sbo': 'SBO:0000185', 'seed.reaction': ['rxn05297', 'rxn09813', 'rxn13303', 'rxn09751', 'rxn08631']}	
GND	Phosphogluconate dehydrogenase	{'6pgc_c': -1.0, 'co2_c': 1.0, 'nadp_c': -1.0, 'nadph_c': 1.0, 'ru5p__D_c': 1.0}	0.0	1000.0	b2029	Pentose Phosphate Pathway	{'original_bigg_ids': ['GND']}	{'bigg.reaction': ['GND'], 'biocyc': ['META:RXN-9952'], 'ec-code': ['1.1.1.44', '1.1.1.351'], 'kegg.reaction': ['R01528'], 'metanetx.reaction': ['MNXR100389'], 'reactome.reaction': ['R-PFA-71299', 'R-GGA-71299', 'R-HSA-71299', 'R-SPO-71299', 'R-XTR-71299', 'R-ATH-71299', 'R-TGU-71299', 'R-OSA-71299', 'R-MMU-71299', 'R-DRE-71299', 'R-SCE-71299', 'R-SSC-71299', 'R-DDI-71299', 'R-CFA-71299', 'R-DME-71299', 'R-BTA-71299', 'R-CEL-71299'], 'rhea': ['10116', '10117', '10118', '10119'], 'sabiork': ['108'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn01115']}	
H2Ot	H2O transport via diffusion	{'h2o_c': 1.0, 'h2o_e': -1.0}	-1000.0	1000.0	b0875 or s0001	Transport, Extracellular	{'original_bigg_ids': ['H2Ot']}	{'bigg.reaction': ['H2Ot'], 'biocyc': ['META:TRANS-RXN-145', 'META:TRANS-RXN0-547'], 'metanetx.reaction': ['MNXR98641'], 'reactome.reaction': ['R-ATH-507868', 'R-CFA-432054', 'R-CFA-432010', 'R-RNO-507868', 'R-OSA-432065', 'R-GGA-432010', 'R-SPO-445714', 'R-PFA-445714', 'R-CFA-432065', 'R-GGA-432067', 'R-TGU-432054', 'R-TGU-445714', 'R-OSA-507868', 'R-DRE-507868', 'R-SPO-507868', 'R-BTA-432054', 'R-GGA-507870', 'R-OSA-432010', 'R-DME-432065', 'R-DRE-432067', 'R-PFA-507868', 'R-SSC-432054', 'R-HSA-432065', 'R-OSA-507870', 'R-HSA-432054', 'R-SSC-432065', 'R-CEL-507868', 'R-XTR-507868', 'R-ATH-507870', 'R-SCE-432065', 'R-BTA-507870', 'R-DME-432010', 'R-CFA-445714', 'R-DRE-445714', 'R-BTA-507868', 'R-GGA-507868', 'R-RNO-432054', 'R-RNO-432010', 'R-SSC-432067', 'R-CEL-445714', 'R-DDI-432065', 'R-ATH-432010', 'R-SCE-432054', 'R-MMU-432065', 'R-MMU-445714', 'R-GGA-432065', 'R-HSA-432067', 'R-SSC-507870', 'R-SCE-432067', 'R-RNO-507870', 'R-DME-432054', 'R-ATH-432067', 'R-BTA-445714', 'R-DRE-507870', 'R-DME-507868', 'R-DME-507870', 'R-DRE-432010', 'R-MMU-432010', 'R-HSA-445714', 'R-OSA-432054', 'R-RNO-432067', 'R-TGU-432010', 'R-TGU-507868', 'R-DDI-432054', 'R-PFA-507870', 'R-HSA-507870', 'R-XTR-432067', 'R-HSA-432010', 'R-SSC-507868', 'R-SCE-507870', 'R-CEL-507870', 'R-DDI-507868', 'R-DRE-432054', 'R-XTR-507870', 'R-DDI-432010', 'R-BTA-432065', 'R-CFA-432067', 'R-OSA-432067', 'R-ATH-432065', 'R-GGA-445714', 'R-SCE-507868', 'R-TGU-432065', 'R-MMU-432067', 'R-TGU-507870', 'R-CFA-507870', 'R-RNO-432065', 'R-MMU-432054', 'R-MMU-507868', 'R-SPO-507870', 'R-SCE-432010', 'R-MMU-507870', 'R-SSC-445714', 'R-HSA-507868', 'R-DME-432067', 'R-SSC-432010', 'R-TGU-432067', 'R-GGA-432054', 'R-BTA-432010', 'R-SCE-445714', 'R-DDI-507870', 'R-ATH-432054', 'R-DDI-432067', 'R-XTR-445714', 'R-BTA-432067', 'R-CFA-507868', 'R-RNO-445714'], 'rhea': ['29668', '29669', '29667', '29670'], 'sbo': 'SBO:0000185', 'seed.reaction': ['rxn08687', 'rxn08686', 'rxn09745', 'rxn09838', 'rxn09874', 'rxn09812', 'rxn09643', 'rxn05319']}	
ICDHyr	Isocitrate dehydrogenase (NADP)	{'akg_c': 1.0, 'co2_c': 1.0, 'icit_c': -1.0, 'nadp_c': -1.0, 'nadph_c': 1.0}	-1000.0	1000.0	b1136	Citric Acid Cycle	{'original_bigg_ids': ['ICDHyr']}	{'bigg.reaction': ['ICDHyr'], 'ec-code': ['1.1.1.42'], 'kegg.reaction': ['R00267'], 'metanetx.reaction': ['MNXR100781'], 'rhea': ['19629', '19630', '19631', '19632'], 'sabiork': ['269'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn00198']}	
ICL	Isocitrate lyase	{'glx_c': 1.0, 'icit_c': -1.0, 'succ_c': 1.0}	0.0	1000.0	b4015	Anaplerotic reactions	{'original_bigg_ids': ['ICL']}	{'bigg.reaction': ['ICL'], 'ec-code': ['4.1.3.1'], 'kegg.reaction': ['R00479'], 'metanetx.reaction': ['MNXR100789'], 'rhea': ['13248', '13245', '13246', '13247'], 'sabiork': ['911'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn00336']}	
LDH_D	D-lactate dehydrogenase	{'h_c': 1.0, 'lac__D_c': -1.0, 'nad_c': -1.0, 'nadh_c': 1.0, 'pyr_c': 1.0}	-1000.0	1000.0	b2133 or b1380	Pyruvate Metabolism	{'original_bigg_ids': ['LDH_D']}	{'bigg.reaction': ['LDH_D'], 'biocyc': ['META:DLACTDEHYDROGNAD-RXN'], 'ec-code': ['1.1.1.28'], 'kegg.reaction': ['R00704'], 'metanetx.reaction': ['MNXR101037'], 'rhea': ['16370', '16371', '16372', '16369'], 'sabiork': ['155'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn00500']}	
MALS	Malate synthase	{'accoa_c': -1.0, 'coa_c': 1.0, 'glx_c': -1.0, 'h2o_c': -1.0, 'h_c': 1.0, 'mal__L_c': 1.0}	0.0	1000.0	b4014 or b2976	Anaplerotic reactions	{'original_bigg_ids': ['MALS']}	{'bigg.reaction': ['MALS'], 'biocyc': ['META:MALSYN-RXN'], 'ec-code': ['2.3.3.9'], 'kegg.reaction': ['R00472'], 'metanetx.reaction': ['MNXR101347'], 'rhea': ['18181', '18182', '18184', '18183'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn00330']}	
MALt2_2	Malate transport via proton symport (2 H)	{'h_c': 2.0, 'h_e': -2.0, 'mal__L_c': 1.0, 'mal__L_e': -1.0}	0.0	1000.0	b3528	Transport, Extracellular	{'original_bigg_ids': ['MALt2_2']}	{'bigg.reaction': ['MALt2_2'], 'biocyc': ['META:TRANS-RXN-121A'], 'metanetx.reaction': ['MNXR101370'], 'rhea': ['29341', '29340', '29342', '29339'], 'sbo': 'SBO:0000185', 'seed.reaction': ['rxn08865', 'rxn10153']}	
MDH	Malate dehydrogenase	{'h_c': 1.0, 'mal__L_c': -1.0, 'nad_c': -1.0, 'nadh_c': 1.0, 'oaa_c': 1.0}	-1000.0	1000.0	b3236	Citric Acid Cycle	{'original_bigg_ids': ['MDH']}	{'bigg.reaction': ['MDH'], 'biocyc': ['META:MALATE-DEH-RXN'], 'ec-code': ['1.1.1.37', '1.1.1.299'], 'kegg.reaction': ['R00342'], 'metanetx.reaction': ['MNXR101439'], 'reactome.reaction': ['R-BTA-70979', 'R-BTA-198508', 'R-SCE-70979', 'R-GGA-70979', 'R-MMU-71783', 'R-RNO-71783', 'R-DDI-198508', 'R-CFA-71783', 'R-CFA-198508', 'R-ATH-70979', 'R-DME-198508', 'R-TGU-71783', 'R-HSA-71783', 'R-BTA-71783', 'R-DRE-198508', 'R-SPO-70979', 'R-GGA-71783', 'R-TGU-198508', 'R-GGA-372422', 'R-CEL-71783', 'R-XTR-70979', 'R-RNO-198508', 'R-MMU-70979', 'R-SPO-71783', 'R-ATH-71783', 'R-MMU-198508', 'R-DME-70979', 'R-TGU-70979', 'R-CEL-198508', 'R-DME-71783', 'R-DRE-70979', 'R-OSA-71783', 'R-SSC-198508', 'R-GGA-372855', 'R-SSC-70979', 'R-OSA-70979', 'R-GGA-373047', 'R-GGA-198508', 'R-SSC-71783', 'R-HSA-70979', 'R-CFA-70979', 'R-XTR-71783', 'R-HSA-198508', 'R-XTR-198508', 'R-SCE-71783', 'R-RNO-70979', 'R-DRE-71783', 'R-CEL-70979'], 'rhea': ['21432', '21433', '21434', '21435'], 'sabiork': ['113'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn00248']}	
ME1	Malic enzyme (NAD)	{'co2_c': 1.0, 'mal__L_c': -1.0, 'nad_c': -1.0, 'nadh_c': 1.0, 'pyr_c': 1.0}	0.0	1000.0	b1479	Anaplerotic reactions	{'original_bigg_ids': ['ME1']}	{'bigg.reaction': ['ME1'], 'biocyc': ['META:1.1.1.39-RXN'], 'ec-code': ['1.1.1.38', '1.1.1.39'], 'kegg.reaction': ['R00214'], 'metanetx.reaction': ['MNXR101446'], 'rhea': ['12655', '12654', '12653', '12656'], 'sabiork': ['141'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn00159']}	
ME2	Malic enzyme (NADP)	{'co2_c': 1.0, 'mal__L_c': -1.0, 'nadp_c': -1.0, 'nadph_c': 1.0, 'pyr_c': 1.0}	0.0	1000.0	b2463	Anaplerotic reactions	{'original_bigg_ids': ['ME2']}	{'bigg.reaction': ['ME2'], 'biocyc': ['META:MALIC-NADP-RXN'], 'ec-code': ['1.1.1.40'], 'kegg.reaction': ['R00216'], 'metanetx.reaction': ['MNXR101443'], 'rhea': ['18255', '18256', '18254', '18253'], 'sabiork': ['142'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn00161']}	
NADH16	NADH dehydrogenase (ubiquinone-8 & 3 protons)	{'h_c': -4.0, 'h_e': 3.0, 'nad_c': 1.0, 'nadh_c': -1.0, 'q8_c': -1.0, 'q8h2_c': 1.0}	0.0	1000.0	b2276 and b2277 and b2278 and b2279 and b2280 and b2281 and b2282 and b2283 and b2284 and b2285 and b2286 and b2287 and b2288	Oxidative Phosphorylation	{'original_bigg_ids': ['NADH16']}	{'bigg.reaction': ['NADH16'], 'ec-code': ['1.6.5.3'], 'metanetx.reaction': ['MNXR101864'], 'sbo': 'SBO:0000185', 'seed.reaction': ['rxn08972']}	
NADTRHD	NAD transhydrogenase	{'nad_c': -1.0, 'nadh_c': 1.0, 'nadp_c': 1.0, 'nadph_c': -1.0}	0.0	1000.0	b3962 or (b1602 and b1603)	Oxidative Phosphorylation	{'original_bigg_ids': ['NADTRHD']}	{'bigg.reaction': ['NADTRHD'], 'biocyc': ['META:PYRNUTRANSHYDROGEN-RXN'], 'ec-code': ['1.6.1.3', '1.6.1.2', '1.6.1.1'], 'kegg.reaction': ['R00112'], 'metanetx.reaction': ['MNXR101898'], 'rhea': ['11692', '11695', '11694', '11693'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn00083']}	
NH4t	Ammonia reversible transport	{'nh4_c': 1.0, 'nh4_e': -1.0}	-1000.0	1000.0	s0001 or b0451	Inorganic Ion Transport and Metabolism	{'original_bigg_ids': ['NH4t']}	{'bigg.reaction': ['NH4t'], 'biocyc': ['META:TRANS-RXN0-206', 'META:RXN-9615', 'META:TRANS-RXN0-544'], 'metanetx.reaction': ['MNXR101950'], 'reactome.reaction': ['R-CEL-444416', 'R-SSC-444416', 'R-DDI-444416', 'R-MMU-444416', 'R-DRE-444416', 'R-GGA-444416', 'R-CFA-444416', 'R-HSA-444416', 'R-XTR-444416', 'R-BTA-444416', 'R-RNO-444416', 'R-TGU-444416', 'R-DME-444416'], 'rhea': ['28749', '28748', '28750', '28747'], 'sabiork': ['11683'], 'sbo': 'SBO:0000185', 'seed.reaction': ['rxn13364', 'rxn09835', 'rxn05466', 'rxn08987', 'rxn08986', 'rxn09736']}	
O2t	O2 transport  diffusion 	{'o2_c': 1.0, 'o2_e': -1.0}	-1000.0	1000.0	s0001	Transport, Extracellular	{'original_bigg_ids': ['O2t']}	{'bigg.reaction': ['O2t'], 'biocyc': ['META:TRANS-RXN0-474'], 'metanetx.reaction': ['MNXR102090'], 'sbo': 'SBO:0000185', 'seed.reaction': ['rxn09641', 'rxn05468', 'rxn09031', 'rxn09032', 'rxn09734']}	
PDH	Pyruvate dehydrogenase	{'accoa_c': 1.0, 'co2_c': 1.0, 'coa_c': -1.0, 'nad_c': -1.0, 'nadh_c': 1.0, 'pyr_c': -1.0}	0.0	1000.0	b0114 and b0115 and b0116	Glycolysis/Gluconeogenesis	{'original_bigg_ids': ['PDH']}	{'bigg.reaction': ['PDH'], 'biocyc': ['META:PYRUVDEH-RXN'], 'ec-code': ['1.2.1', '1.8.1.4', '1.2.1.51', '1.2.4.1', '2.3.1.12'], 'kegg.reaction': ['R00209'], 'metanetx.reaction': ['MNXR102425'], 'reactome.reaction': ['R-RNO-71397', 'R-OSA-71397', 'R-GGA-373177', 'R-DME-71397', 'R-TGU-71397', 'R-XTR-71397', 'R-CFA-71397', 'R-BTA-71397', 'R-HSA-71397', 'R-GGA-71397', 'R-SPO-71397', 'R-CEL-71397', 'R-DDI-71397', 'R-DRE-71397', 'R-SSC-71397', 'R-SCE-71397', 'R-ATH-71397', 'R-MMU-71397'], 'rhea': ['28043', '28045', '28044', '28042'], 'sabiork': ['523'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn00154']}	
